dh,dd,hh,cnt
2018020319,20180203,19,1808
2018020320,20180203,20,1621
2018020321,20180203,21,1420
2018020322,20180203,22,1102
2018020323,20180203,23,558
2018020400,20180204,00,476
2018020401,20180204,01,613
2018020402,20180204,02,674
2018020403,20180204,03,757
2018020404,20180204,04,829
2018020405,20180204,05,896
2018020406,20180204,06,1091
2018020407,20180204,07,1544
2018020408,20180204,08,1967
2018020409,20180204,09,2385
2018020410,20180204,10,2592
2018020411,20180204,11,2624
2018020412,20180204,12,2680
2018020413,20180204,13,2625
2018020414,20180204,14,2584
2018020415,20180204,15,2511
2018020416,20180204,16,2357
2018020417,20180204,17,2089
2018020418,20180204,18,1839
2018020419,20180204,19,1689
2018020420,20180204,20,1547
2018020421,20180204,21,1343
2018020422,20180204,22,990
2018020423,20180204,23,508
2018020500,20180205,00,421
2018020501,20180205,01,542
2018020502,20180205,02,618
2018020503,20180205,03,680
2018020504,20180205,04,717
2018020505,20180205,05,792
2018020506,20180205,06,957
2018020507,20180205,07,1413
2018020508,20180205,08,1750
2018020509,20180205,09,1999
2018020510,20180205,10,2223
2018020511,20180205,11,2344
2018020512,20180205,12,2436
2018020513,20180205,13,2429
2018020514,20180205,14,2431
2018020515,20180205,15,2388
2018020516,20180205,16,2302
2018020517,20180205,17,2138
2018020518,20180205,18,1969
2018020519,20180205,19,1841
2018020520,20180205,20,1684
2018020521,20180205,21,1461
2018020522,20180205,22,1108
2018020523,20180205,23,566
2018020600,20180206,00,420
2018020601,20180206,01,534
2018020602,20180206,02,594
2018020603,20180206,03,652
2018020604,20180206,04,733
2018020605,20180206,05,791
2018020606,20180206,06,969
2018020607,20180206,07,1401
2018020608,20180206,08,1757
2018020609,20180206,09,2066
2018020610,20180206,10,2223
2018020611,20180206,11,2318
2018020612,20180206,12,2363
2018020613,20180206,13,2376
2018020614,20180206,14,2357
2018020615,20180206,15,2336
2018020616,20180206,16,2240
2018020617,20180206,17,2045
2018020618,20180206,18,1829
2018020619,20180206,19,1703
2018020620,20180206,20,1560
2018020621,20180206,21,1363
2018020622,20180206,22,1038
2018020623,20180206,23,562
2018020700,20180207,00,455
2018020701,20180207,01,552
2018020702,20180207,02,636
2018020703,20180207,03,696
2018020704,20180207,04,750
2018020705,20180207,05,832
2018020706,20180207,06,1014
2018020707,20180207,07,1487
2018020708,20180207,08,1850
2018020709,20180207,09,2143
2018020710,20180207,10,2353
2018020711,20180207,11,2412
2018020712,20180207,12,2469
2018020713,20180207,13,2553
2018020714,20180207,14,2579
2018020715,20180207,15,2517
2018020716,20180207,16,2399
2018020717,20180207,17,2164
2018020718,20180207,18,1983
2018020719,20180207,19,1832
2018020720,20180207,20,1725
2018020721,20180207,21,1539
2018020722,20180207,22,1189
2018020723,20180207,23,667
2018020800,20180208,00,566
2018020801,20180208,01,631
2018020802,20180208,02,699
2018020803,20180208,03,744
2018020804,20180208,04,796
2018020805,20180208,05,870
2018020806,20180208,06,1056
2018020807,20180208,07,1517
2018020808,20180208,08,1922
2018020809,20180208,09,2166
2018020810,20180208,10,2348
2018020811,20180208,11,2402
2018020812,20180208,12,2455
2018020813,20180208,13,2421
2018020814,20180208,14,2410
2018020815,20180208,15,2331
2018020816,20180208,16,2212
2018020817,20180208,17,1969
